query,tables,predicates,cost ratio,label,MAX Q-error,SUM Q-error,MAX L1-error,SUM L1-error,Weighted SUM L1-error,complexity
22b,11,16,9.56,1,70725.0,239136.31,115474568.66,207055510.07999998,82827.22247289731,2
22c,11,16,1.28,1,2842381.0,3187853.8,305042216.14,318966138.84999996,48169.01310329065,2
23a,11,16,7.1,1,1641411.5,5759924.5,100792417.93,180838192.88,30689.132554021402,2
23b,11,16,6.93,1,1641411.5,4888992.83,122090306.46,216888183.42,77984.95778059447,2
23c,11,16,6.98,1,795004.78,2826881.4699999997,12609915.8,35461842.95,17986.41201409189,2
24b,12,18,3.82,1,424620.0,1746821.72,161717646.78,522810163.0899999,95169.02656186276,2
25b,9,14,1.44,1,34190.0,103342.68,5897427.03,13995394.74,6916.29749189098,2
25c,9,14,1.38,1,378769.25,938784.4,13124.36,33768.21,95.41600363681422,2
26a,12,17,35.34,1,41145539.0,119282628.9,749388621.03,1304616738.97,184494.3216282319,2
26b,12,17,20.94,1,21175984.0,49456932.21,5853794149.63,7589446018.04,547224.6501457086,2
26c,12,17,30.7,1,125474088.0,510451560.82,67879150.44,222589675.96000004,21145.40630968626,2
33a,14,19,15.96,1,448098.0,2406706.52,38796667.59,97124401.36,5578.038896501352,2
33b,14,19,8.52,1,448098.0,2025370.96,426942964.13,1366811273.19,147638.24835346354,2
33c,14,19,1.99,1,1229760.0,3902009.55,56250495.02,140166961.98999995,1368.0656797725476,2
*,*,*,*,*,*,*,*,*,*,*
7a,8,11,1.0,0,484719.0,572700.1799999999,1980.9,5317.51,10.85708225710687,2
7b,8,11,0.95,0,53272.25,76464.51000000001,1804.77,4555.2300000000005,9.782353711631803,2
7c,8,11,1.0,0,246662.81,331859.16000000003,2703.74,7393.65,16.832246881355104,2
11a,8,10,0.85,0,32130.0,58872.770000000004,6627.96,16455.27,135.07016103411354,2
11b,8,10,1.0,0,11915.0,16341.32,2232.73,7722.58,55.443416470807186,2
11c,8,10,0.09,0,260315.67,542506.4500000001,4540.31,10687.210000000001,30.122654056377907,2
11d,8,10,0.23,0,15510.0,63016.68,4310.9,13552.97,45.47312136164166,2
16b,8,11,1.0,0,26722.22,73241.84,1418.18,1941.4499999999998,4.933901154994703,2
16d,8,11,1.0,0,22625.56,56946.28,1662.5,3118.2799999999997,4.71766058917463,2
19d,10,13,1.0,0,1909379.0,3952142.88,175880.23,440120.55000000005,347.1217768523484,2
21a,9,14,0.52,0,60243.0,156221.2,42757.4,95158.62,516.9503042730795,2
21c,9,14,0.32,0,99902.0,204401.2,40221.34,108979.95999999999,353.92237782389947,2
22d,11,16,0.33,0,319854.56,930385.74,1331619.22,4566425.220000001,3377.3034241482205,2
24a,12,18,0.68,0,2945072.0,6991718.84,44095089.52,121810254.44999999,22604.472462677066,2
25a,9,14,0.69,0,319480.0,646587.73,9289.43,36447.51,155.77309789090776,2
#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#
27a,12,21,1.63,1,1760956.0,5297646.28,23070305.75,70731110.07000001,54474.56811517434,3
27b,12,21,3.07,1,1760956.0,2550630.2,34553816.15,74932591.45,10388.541528628353,3
27c,12,21,46.63,1,3884358.0,17866097.2,192215776.43,291735663.61,108833.74656975192,3
28a,14,23,2.94,1,5442981.0,32322793.189999998,3755090579.53,11321923112.960001,690547.1324822501,3
28b,14,23,5.31,1,550766.0,3823972.51,2021160776.27,6928642205.56,735684.2986277041,3
28c,14,23,11.15,1,2842381.0,18828031.369999997,61652934704.59,112383527636.68001,12680905.696644671,3
30a,12,21,6.92,1,1020203.0,4714989.9,10601069.22,28757920.07,9480.833189544868,3
30b,12,21,1.09,1,1020203.0,4004417.9,500311362.46,1373503947.1900003,536121.672993187,3
30c,12,21,9.73,1,3406616.0,15623551.9,5620642.96,16687873.42,5586.053671961981,3
31a,11,20,29.41,1,4311915.67,7536478.95,2672288.79,9381254.090000002,5674.218247363424,3
31b,11,20,1.07,1,369660.0,939846.38,14290598.89,23911911.1,25687.549988739996,3
31c,11,20,27.37,1,6153261.75,16173275.15,6001936.95,11119184.57,6058.962676963726,3
29a,17,28,3.24,1,792947549.0,1400224468.93,33657968825492.14,109361172157643.12,249104629.72232,3
29b,17,28,3.09,1,126154056.0,435414447.78,65651604306734.46,171565168142018.88,390517750.88331735,3
29c,17,28,26.68,1,2057893916.0,5811606694.75,16070492106019.87,37852168862242.69,24343254.42052126,3
*,*,*,*,*,*,*,*,*,*,*
#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#
