query_name,plan_size,true_cost,compass_est,psql_est,plan
10c,6,3712428,387291830,1569851,"['mc', 'cn', 't', 'ci', 'chn', 'rt']"
11a,7,12181,13751,30,"['mk', 'k', 'ml', 'lt', 't', 'mc', 'cn']"
11b,7,85,3073,10,"['t', 'mk', 'k', 'mc', 'cn', 'ct', 'ml']"
11c,7,74239,59907,98,"['mk', 'k', 'ml', 'lt', 't', 'mc', 'cn']"
11d,7,66155,166388,129,"['mk', 'k', 'ml', 'mc', 'ct', 'lt', 't']"
12a,7,1418,597877,1473,"['mi', 'mi_idx', 't', 'mc', 'cn', 'ct', 'it2']"
12b,7,278,17135646,7192,"['mi_idx', 'it2', 't', 'mi', 'it1', 'mc', 'cn']"
12c,7,17443,1779127,7234,"['mi', 'mi_idx', 't', 'mc', 'cn', 'ct', 'it2']"
13a,8,905818,204264,63592,"['mc', 'cn', 'ct', 't', 'kt', 'mi_idx', 'it1', 'mi']"
13b,8,3368,15150,8,"['t', 'kt', 'mi_idx', 'it1', 'mc', 'ct', 'cn', 'mi']"
13c,8,564,6197,8,"['t', 'kt', 'mi_idx', 'it1', 'mc', 'ct', 'cn', 'mi']"
13d,8,6571930,1415438,14468,"['mi_idx', 'it1', 't', 'kt', 'mc', 'cn', 'ct', 'mi']"
14a,7,610,67056,209,"['t', 'mi_idx', 'kt', 'mi', 'mk', 'k', 'it2']"
14b,7,185,130374,6,"['t', 'mi_idx', 'mi', 'mk', 'k', 'kt', 'it2']"
14c,7,8117,1850773,1571,"['t', 'mi_idx', 'mi', 'mk', 'k', 'kt', 'it1']"
15a,8,769,86693,151,"['att', 'mi', 'mc', 'it', 't', 'cn', 'ct', 'mk']"
15b,8,241,7042,151,"['att', 'mi', 'mc', 'cn', 'ct', 't', 'it', 'mk']"
15c,8,3599,1433378,161,"['att', 'mi', 't', 'it', 'mc', 'cn', 'ct', 'mk']"
15d,8,17604,2247557,4732,"['att', 'mi', 'it', 't', 'mc', 'cn', 'ct', 'mk']"
16a,7,16526,414538166,73365,"['t', 'mk', 'k', 'mc', 'cn', 'ci', 'n']"
16b,7,5965658,1382270265,281,"['mk', 'k', 't', 'mc', 'cn', 'ci', 'n']"
16c,7,511928,1364998943,187,"['mk', 'k', 't', 'mc', 'cn', 'ci', 'n']"
16d,7,401198,2457557162,86,"['mk', 'k', 't', 'mc', 'cn', 'ci', 'n']"
17a,6,2384687,243983729,1100,"['mk', 'k', 't', 'ci', 'n', 'mc']"
17b,6,1145823,31363001,791,"['mk', 'k', 'ci', 'n', 't', 'mc']"
17c,6,78174,31282141,12358,"['n', 'ci', 'mk', 'k', 't', 'mc']"
17d,6,377404,34788791,12358,"['n', 'ci', 'mk', 'k', 't', 'mc']"
17e,6,3133103,151846512,175,"['mk', 'k', 't', 'mc', 'cn', 'ci']"
17f,6,2384687,219037049,1100,"['mk', 'k', 't', 'ci', 'n', 'mc']"
18a,6,103282,15702673,159,"['ci', 'n', 'mi_idx', 'it2', 'mi', 'it1']"
18b,6,283,2128419,406,"['mi', 'mi_idx', 'ci', 'n', 't', 'it2']"
18c,6,287586,24620615,300825,"['mi', 'ci', 'n', 'mi_idx', 'it2', 'it1']"
19a,9,1491,506540452,21,"['ci', 'n', 't', 'rt', 'mc', 'cn', 'chn', 'an', 'mi']"
19b,9,82,8693,11,"['t', 'ci', 'n', 'chn', 'rt', 'mi', 'it', 'mc', 'cn']"
19c,9,30367,24521225,1829,"['ci', 'n', 'mi', 'rt', 't', 'chn', 'it', 'mc', 'cn']"
19d,9,4827120,811250540705,589227,"['ci', 'n', 'mc', 'mi', 'chn', 'cn', 'it', 't', 'rt']"
20a,9,2443,20119720,5295,"['ci', 'chn', 'cc', 't', 'n', 'kt', 'cct1', 'cct2', 'mk']"
20b,9,761,10353,2447,"['ci', 'n', 'cc', 'mk', 'k', 'chn', 'cct2', 't', 'kt']"
20c,9,174178,4363211136,31998,"['mk', 'k', 'cc', 'cct1', 'ci', 'chn', 't', 'kt', 'n']"
21a,8,12121,47614,64,"['lt', 'ml', 'mc', 'mk', 'k', 'cn', 't', 'ct']"
21b,8,6208,366244,5426,"['ml', 'mi', 'lt', 't', 'mk', 'k', 'mc', 'cn']"
21c,8,13038,13872,31,"['mk', 'k', 'ml', 'lt', 't', 'mc', 'cn', 'ct']"
22a,10,3246,64582,2348,"['t', 'mi_idx', 'mc', 'mi', 'mk', 'it2', 'cn', 'k', 'kt', 'ct']"
22b,10,1809,54308,1904,"['t', 'mi_idx', 'mc', 'it2', 'mk', 'k', 'cn', 'ct', 'kt', 'mi']"
22c,10,2717,334662,1327,"['t', 'mi_idx', 'mi', 'it2', 'mc', 'mk', 'cn', 'k', 'it1', 'ct']"
22d,10,3987,19041,1327,"['t', 'mi_idx', 'mi', 'it2', 'mk', 'k', 'kt', 'it1', 'mc', 'cn']"
23a,10,697,818,62,"['mi', 'cc', 'cct', 't', 'it', 'kt', 'mc', 'cn', 'ct', 'mk']"
23b,10,166,14345,65,"['mi', 'cc', 't', 'mk', 'mc', 'it', 'k', 'cn', 'ct', 'kt']"
23c,10,713,716,62,"['mi', 'cc', 'cct', 't', 'it', 'kt', 'mc', 'cn', 'ct', 'mk']"
24a,11,15216,1707668739,1644,"['ci', 'n', 'mi', 'rt', 'it', 'an', 'mk', 'mc', 'k', 't', 'cn']"
24b,11,342,34573,16,"['t', 'ci', 'n', 'chn', 'rt', 'mi', 'it', 'mc', 'cn', 'mk', 'k']"
25a,8,100230,5708405,46090,"['mi', 'ci', 't', 'mi_idx', 'mk', 'k', 'it2', 'n']"
25b,8,87,3843872,22,"['t', 'ci', 'mi_idx', 'it2', 'n', 'mi', 'it1', 'mk']"
25c,8,346037,498277,372,"['mk', 'k', 'ci', 'mi', 'it1', 'n', 'mi_idx', 'it2']"
26a,11,11588,573516249,2858,"['cc', 'mi_idx', 't', 'it', 'mk', 'k', 'ci', 'kt', 'chn', 'cct1', 'cct2']"
26b,11,2390,19428194,1208,"['cc', 'mi_idx', 't', 'mk', 'cct2', 'ci', 'k', 'it', 'cct1', 'chn', 'kt']"
26c,11,138666,2255816273,680,"['mk', 'k', 'cc', 't', 'cct2', 'ci', 'chn', 'cct1', 'kt', 'mi_idx', 'it']"
27a,11,4544,31474,70,"['lt', 'ml', 'cc', 'cct2', 't', 'mk', 'k', 'cct1', 'mc', 'cn', 'ct']"
27b,11,1972,72797,625,"['ml', 't', 'cc', 'mi', 'mk', 'mc', 'ct', 'k', 'cn', 'cct2', 'lt']"
27c,11,6451,41404,168,"['lt', 'ml', 'cc', 'mc', 'mk', 'k', 'cct1', 'cct2', 'cn', 'ct', 't']"
28a,13,20400,629,698,"['cc', 'mi_idx', 'cct1', 't', 'cct2', 'it2', 'mi', 'it1', 'kt', 'mc', 'cn', 'ct', 'mk']"
28b,13,3818,7857,2844,"['mi', 'mi_idx', 'cc', 'cct1', 'cct2', 't', 'it2', 'it1', 'kt', 'mc', 'cn', 'ct', 'mk']"
28c,13,905,4636,744,"['cc', 'mi_idx', 't', 'cct1', 'kt', 'mi', 'it2', 'mc', 'cct2', 'cn', 'ct', 'it1', 'mk']"
30a,11,26203,32572,15752,"['mi', 'cc', 't', 'cct2', 'cct1', 'mi_idx', 'mk', 'k', 'it1', 'it2', 'ci']"
30b,11,289,878480,33,"['t', 'cc', 'cct2', 'ci', 'mi_idx', 'it2', 'mk', 'mi', 'k', 'it1', 'n']"
30c,11,133182,136722,1164,"['cc', 'cct2', 'ci', 'mk', 'mi', 'mi_idx', 'it2', 'n', 'k', 'cct1', 'it1']"
31a,10,53679,858992,188,"['mc', 'cn', 'mi', 'ci', 'it1', 'n', 'mi_idx', 'it2', 't', 'mk']"
31b,10,596,2801,9,"['t', 'mc', 'mi', 'mk', 'k', 'cn', 'mi_idx', 'it2', 'it1', 'ci']"
31c,10,16759,3104676,250,"['mc', 'cn', 'mi', 'ci', 'it1', 'mk', 'mi_idx', 'n', 'k', 'it2']"
33a,13,3976,91684,42,"['lt', 'ml', 't2', 'mi_idx1', 'it1', 'kt2', 'mi_idx2', 'it2', 't1', 'kt1', 'mc1', 'cn1', 'mc2']"
33b,13,1511,2163722,835,"['ml', 't2', 'mc2', 'lt', 'mc1', 'kt2', 't1', 'kt1', 'mi_idx2', 'cn2', 'it2', 'cn1', 'mi_idx1']"
33c,13,22780,35798,40,"['lt', 'ml', 't2', 'kt2', 't1', 'kt1', 'mi_idx1', 'it1', 'mi_idx2', 'it2', 'mc2', 'cn2', 'mc1']"
29a,16,8661,14,15,"['cc', 't', 'cct1', 'cct2', 'mi', 'it1', 'mc', 'cn', 'ci', 'chn', 'rt', 'n', 'an', 'mk', 'k', 'pi']"
29b,16,4332,16,15,"['cc', 't', 'cct1', 'cct2', 'mi', 'it1', 'mc', 'cn', 'ci', 'chn', 'rt', 'n', 'an', 'mk', 'k', 'pi']"
29c,16,79634,2635,80,"['k', 'mk', 'cc', 'cct2', 't', 'cct1', 'mi', 'it1', 'mc', 'cn', 'ci', 'n', 'chn', 'rt', 'an', 'pi']"
