query,tables,predicates,cost ratio,label,MAX Q-error,SUM Q-error,MAX L1-error,SUM L1-error,Weighted SUM L1-error,complexity
21b,9,14,2.49,1,314490.08,606186.5399999999,1311716.85,2083547.32,6590.337559232165,2
22a,11,16,2.66,1,3818566.31,11414726.1,86817202.54,216420286.02,132496.194168303,2
22b,11,16,3.21,1,1830883.1,5261856.220000001,2408541310.71,4656514788.0199995,2370674.9168705116,2
22c,11,16,1.9,1,17276104.94,50721772.169999994,321772474.46,558443300.5400001,190342.9863934795,2
22d,11,16,1.1,1,56852473.81,89026146.53000002,39311816.85,97158027.89,33258.50079209649,2
23a,11,16,1.01,1,144640261.63,285875050.43,996128158.18,2447375351.52,2806261.517701781,2
24a,12,18,1.65,1,276123337.56,891191861.52,502044163.09,1578142114.63,317372.316312685,2
24b,12,18,1.12,1,1859044.28,7510496.660000001,144550995.77,282252592.02000004,106595.00015988227,2
25a,9,14,1.29,1,7399.49,23012.63,30335.25,93112.64,191.58586167198007,2
25b,9,14,1.28,1,934134.29,1749378.72,10805278.95,27324733.49,31114.774512625783,2
25c,9,14,5.2,1,3148.18,12613.789999999999,27119.92,73316.29000000001,220.79611556450186,2
26a,12,17,9.73,1,1898440000.0,2869540165.6299996,470807541.45,1317068248.6999998,281080.6914583785,2
26b,12,17,18.97,1,449860000.0,919067313.07,2745097795.63,5039750893.85,1059488.5817892402,2
26c,12,17,4.18,1,1898440000.0,5944175501.389999,39824206.77,162574124.28,35142.44651748621,2
33a,14,19,38.79,1,44340059.19,88975122.27999999,34157642.66,74585342.08,5885.564628699767,2
33b,14,19,1.72,1,149133333.33,258129076.09,665786662.2,1245640785.1,136397.45955172315,2
33c,14,19,1.91,1,33423521.52,68913775.95,25024685.81,74703873.88000001,6678.852204770353,2
*,*,*,*,*,*,*,*,*,*,*
7a,8,11,1.0,0,56731.61,70136.23,2588.56,6304.3,8.662084126762487,2
7b,8,11,1.0,0,378482.71,450183.96,9643.3,22027.86,36.959666049161555,2
7c,8,11,1.0,0,32612.19,42285.159999999996,10683.98,23761.389999999996,18.98825322011806,2
11d,8,10,1.0,0,197117.57,227409.88,4966.04,10797.97,44.31311705969757,2
13a,9,11,1.0,0,4883304.12,5746867.71,33852.99,78910.23999999999,191.54989841767548,2
13c,9,11,1.0,0,22216.61,75428.92,133370186.9,189690219.64000002,371857.7381959654,2
16b,8,11,1.0,0,16227.31,26815.04,1012.78,2033.25,7.21643021487473,2
19d,10,13,1.0,0,4520424.26,9623746.46,463775.72,1073452.8,518.6980398095299,2
21a,9,14,0.5,0,951088.5,1558196.71,287168.72,519645.54,3466.0863254116407,2
21c,9,14,0.51,0,399414.74,744719.73,442460.0,829399.2300000001,5315.563198122567,2
23b,11,16,1.0,0,142187413.37,270749988.67,835325792.91,2186765673.13,689108.0440443396,2
23c,11,16,1.0,0,388749055.98,682443124.7499999,1173235666.17,3428792355.9800005,3414566.7618604237,2
#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#
27a,12,21,2.69,1,1226651248.97,2656582306.7400002,40015454.2,117747250.26000002,148612.5617396101,3
27b,12,21,2.63,1,1134600000.0,2155150709.36,81835637.88,258652852.2,133500.33255648002,3
27c,12,21,1.16,1,1344328701.6,3811499835.04,130051958.12,284863392.45,148326.57253303038,3
28a,14,23,1.03,1,9581886933.31,31188622058.2,2595288718.12,6427431313.65,777361.7037311546,3
28b,14,23,3.46,1,2535970000.0,8076124776.7,4000672851.99,7676271458.75,553294.2346018628,3
28c,14,23,1.92,1,21541946514.61,52630729889.65,31324961862.03,88046120152.2,9863124.512887163,3
30a,12,21,1.63,1,248369899.12,818067691.4399999,13129315.57,48028986.32,21292.653005681983,3
30b,12,21,1.09,1,248473312.71,782903758.4300001,824989789.42,2163095136.89,773008.0077559742,3
30c,12,21,4.8,1,250395055.76,908765650.42,4093851.61,14226670.36,5449.160955337915,3
31a,11,20,1.2,1,63792.38,135737.2,4124670.11,13224363.870000001,13453.195533373879,3
31b,11,20,1.09,1,266929.76,501986.9700000001,23406349.88,42232453.57000001,38210.2664099169,3
31c,11,20,1.01,1,40314.1,91151.87000000001,3999418.21,13107875.410000002,10406.651491098128,3
29a,17,28,1.59,1,23237280000.0,98120043142.06,1683904808710.1,4710320530491.57,43209873.22687604,3
29b,17,28,274.44,1,11618640000.0,58096559320.979996,4756107522773.49,13183529366085.01,87050814.36347161,3
29c,17,28,2.8,1,12882987544.59,26626601645.46,5712449154891.43,17022255915305.498,57397437.37123261,3
*,*,*,*,*,*,*,*,*,*,*
#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#
